,Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,built_in_SF,built_in_ppsf,land_ppsf,MS Zoning_score,neighborhood_score,access,location_score
0,109,60,RL,73.38502673796792,13517,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3,3,No,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,5,Y,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,Typ,0,Attchd,1976.0,RFn,2.0,475.0,3,3,Y,0,44,0,0,0,0,0,3,2010,WD ,130500,2248.0,58.05160142348755,9.654509136642746,4,3,-1,6
1,544,60,RL,43.0,11492,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4,3,No,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,5,Y,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,Typ,1,Attchd,1997.0,RFn,2.0,559.0,3,3,Y,0,74,0,0,0,0,0,4,2009,WD ,220000,3109.0,70.76230299131554,19.143752175426382,4,4,0,8
2,153,20,RL,68.0,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,3,Y,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,Typ,0,Detchd,1953.0,Unf,1.0,246.0,3,3,Y,0,52,0,0,0,0,0,1,2010,WD ,109000,2166.0,50.32317636195752,13.759151729361273,4,3,0,7
3,318,60,RL,73.0,9802,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,4,Y,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,Typ,0,BuiltIn,2007.0,Fin,2.0,400.0,3,3,Y,100,0,0,0,0,0,0,4,2010,WD ,174000,1928.0,90.24896265560166,17.75147928994083,4,5,0,9
4,255,50,RL,82.0,14235,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,2,4,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,3,Y,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,Typ,0,Detchd,1957.0,Unf,2.0,484.0,3,3,N,0,59,0,0,0,0,0,3,2010,WD ,138500,2180.0,63.53211009174312,9.729539866526167,4,4,0,8
5,138,20,RL,137.0,16492,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,CBlock,3,3,No,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,5,Y,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,Mod,1,Attchd,1966.0,Fin,2.0,578.0,3,3,Y,0,0,0,0,0,0,0,6,2010,WD ,190000,3405.0,55.80029368575624,11.52073732718894,4,3,1,8
6,2827,180,RM,35.0,3675,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4,3,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,4,Y,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,Typ,0,Basment,2005.0,Fin,2.0,525.0,3,3,Y,0,44,0,0,0,0,0,6,2006,New,140000,1663.0,84.18520745640409,38.095238095238095,5,2,0,7
7,145,20,RL,73.38502673796792,12160,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3,3,No,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,2,Y,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,Typ,0,Attchd,1959.0,RFn,2.0,531.0,3,3,Y,0,0,0,0,0,0,0,5,2010,COD,142000,2376.0,59.764309764309765,11.677631578947368,4,3,0,7
8,1942,20,RL,73.38502673796792,15783,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,No,Rec,292.0,Unf,0.0,632.0,924.0,GasA,3,Y,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,3,6,Typ,0,Detchd,1952.0,Unf,1.0,420.0,3,3,Y,0,324,0,0,0,0,400,6,2007,WD ,112500,2172.0,51.79558011049724,7.127922448203764,4,1,-1,4
9,1956,60,RL,70.0,11606,Pave,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4,3,Av,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,3,Y,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,Typ,2,Attchd,1969.0,Unf,2.0,504.0,3,3,Y,335,0,0,0,0,0,0,9,2007,WD ,135000,3455.0,39.07380607814761,11.63191452696881,4,3,0,7
10,1044,160,RM,21.0,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,No,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,3,Y,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,3,4,Typ,0,Detchd,1971.0,Unf,1.0,264.0,3,3,Y,0,0,0,0,0,0,0,7,2008,COD,85400,1470.0,58.095238095238095,50.833333333333336,5,3,0,8
11,2752,20,RL,64.0,7488,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,Av,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,5,Y,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,Typ,0,Attchd,2005.0,RFn,2.0,632.0,3,3,Y,105,58,0,0,0,0,0,2,2006,WD ,183600,2579.0,71.19038386971694,24.51923076923077,4,5,0,9
12,807,70,RL,120.0,26400,Pave,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,3,3,No,GLQ,0.0,Unf,0.0,0.0,0.0,GasA,5,Y,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,Mod,1,Attchd,1900.0,Unf,2.0,576.0,3,3,P,0,0,0,0,0,0,0,6,2009,WD ,131000,2016.0,64.98015873015873,4.962121212121212,4,4,-1,7
13,1177,160,FV,24.0,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4,3,No,GLQ,813.0,Unf,0.0,147.0,960.0,GasA,5,Y,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,Typ,0,Detchd,2000.0,Unf,2.0,480.0,3,3,Y,169,0,0,0,0,0,0,12,2008,ConLD,200000,2736.0,73.09941520467837,75.61436672967864,7,6,0,13
14,1480,20,RL,74.0,9627,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,Av,GLQ,24.0,Unf,0.0,1327.0,1351.0,GasA,5,Y,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,Typ,0,Attchd,2007.0,RFn,2.0,610.0,3,3,Y,0,50,0,0,0,0,0,6,2008,WD ,193000,2762.0,69.87690079652425,20.04778227900696,4,5,0,9
15,324,20,RL,93.0,10114,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5,3,Av,Unf,0.0,Unf,0.0,1430.0,1430.0,GasA,5,Y,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,Typ,0,Attchd,2004.0,RFn,2.0,624.0,3,3,Y,0,0,0,0,0,0,0,3,2010,WD ,173500,2860.0,60.66433566433567,17.154439390943246,4,3,0,7
16,1311,70,RM,34.0,4571,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3,3,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,2,N,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,Typ,0,Detchd,1916.0,Unf,3.0,513.0,2,2,Y,0,0,96,0,0,0,0,5,2008,COD,98000,2064.0,47.48062015503876,21.43950995405819,5,1,0,6
17,770,20,RL,80.0,8816,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,No,Rec,651.0,Unf,0.0,470.0,1121.0,GasA,3,Y,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,Typ,0,Detchd,1963.0,Unf,2.0,480.0,3,3,Y,0,80,0,0,0,0,0,6,2009,WD ,139000,2322.0,59.862187769164514,15.766787658802178,4,3,-1,6
18,2063,20,RL,71.0,8197,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3,3,No,Unf,0.0,Unf,0.0,660.0,660.0,GasA,5,Y,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,Typ,1,Attchd,1977.0,RFn,2.0,528.0,3,3,Y,138,0,0,0,0,0,0,4,2007,WD ,143500,2083.0,68.89102256361018,17.506404782237404,4,3,0,7
19,69,60,FV,72.0,8640,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,Mn,GLQ,24.0,Unf,0.0,732.0,756.0,GasA,5,Y,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,Typ,0,Attchd,2009.0,Unf,2.0,614.0,3,3,Y,169,45,0,0,0,0,0,6,2010,Con,215200,2517.0,85.49860945570123,24.90740740740741,7,6,0,13
20,2062,20,RL,109.0,8724,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,No,BLQ,492.0,Unf,0.0,402.0,894.0,GasA,4,Y,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,3,5,Typ,1,Attchd,1968.0,Fin,2.0,450.0,3,3,Y,0,0,0,0,0,0,0,5,2007,WD ,129000,1788.0,72.14765100671141,14.786795048143054,4,3,0,7
21,351,120,RL,40.0,5664,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,No,GLQ,1158.0,Unf,0.0,343.0,1501.0,GasA,5,Y,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,Typ,1,Attchd,2000.0,Fin,2.0,499.0,3,3,Y,212,59,0,0,0,0,0,10,2009,WD ,278000,3431.0,81.02593995919557,49.0819209039548,4,7,0,11
22,2393,60,RL,103.0,12867,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,None,99.69590931493346,4,3,PConc,5,3,Av,Unf,0.0,Unf,0.0,1209.0,1209.0,GasA,5,Y,SBrkr,1209,1044,0,2253,0.0,0.0,2,1,3,1,5,8,Typ,1,Attchd,2005.0,Fin,2.0,575.0,3,3,Y,243,142,0,0,0,0,0,7,2006,New,344133,3847.0,89.45489992201716,26.745395197015622,4,7,0,11
23,12,20,RL,73.38502673796792,7980,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,5,Y,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,Typ,0,Attchd,1992.0,Fin,2.0,420.0,3,3,Y,483,21,0,0,0,0,500,3,2010,WD ,185000,2859.0,64.70793983910458,23.182957393483708,4,5,0,9
