,Id,MS SubClass,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,built_in_SF,MS Zoning_score,neighborhood_score,access,location_score
0,109,60,73.38502673796792,13517,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,6,8,1976,2005,0.0,1.0,0.0,0.0,0.0,289.0,4,3,0.0,3,3,0.0,0.0,533.0,0.0,0.0,192.0,725.0,1.0,5,0.0,0.0,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,0.0,0,0.0,1976.0,0.0,2.0,475.0,3,3,0.0,0,44,0,0,0,0,0,3,2010,0.0,130500,2248.0,4,3,-1,6
1,544,60,43.0,11492,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,7,5,1996,1997,0.0,1.0,0.0,0.0,0.0,132.0,4,3,0.0,4,3,0.0,0.0,637.0,0.0,0.0,276.0,913.0,1.0,5,0.0,0.0,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,0.0,1,0.0,1997.0,0.0,2.0,559.0,3,3,0.0,0,74,0,0,0,0,0,4,2009,0.0,220000,3109.0,4,4,0,8
2,153,20,68.0,7922,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5,7,1953,2007,0.0,1.0,0.0,0.0,0.0,0.0,3,4,0.0,3,3,0.0,0.0,731.0,0.0,0.0,326.0,1057.0,1.0,3,0.0,0.0,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,0.0,0,0.0,1953.0,0.0,1.0,246.0,3,3,0.0,0,52,0,0,0,0,0,1,2010,0.0,109000,2166.0,4,3,0,7
3,318,60,73.0,9802,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5,5,2006,2007,0.0,1.0,0.0,0.0,0.0,0.0,3,3,0.0,4,3,0.0,0.0,0.0,0.0,0.0,384.0,384.0,1.0,4,0.0,0.0,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,0.0,0,0.0,2007.0,1.0,2.0,400.0,3,3,0.0,100,0,0,0,0,0,0,4,2010,0.0,174000,1928.0,4,5,0,9
4,255,50,82.0,14235,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,6,8,1900,1993,0.0,1.0,0.0,0.0,0.0,0.0,3,3,0.0,2,4,0.0,0.0,0.0,0.0,0.0,676.0,676.0,1.0,3,0.0,0.0,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,0.0,0,0.0,1957.0,0.0,2.0,484.0,3,3,1.0,0,59,0,0,0,0,0,3,2010,0.0,138500,2180.0,4,4,0,8
5,138,20,137.0,16492,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,6,6,1966,2002,0.0,1.0,0.0,0.0,0.0,0.0,4,3,0.0,3,3,0.0,1.0,247.0,0.0,713.0,557.0,1517.0,1.0,5,0.0,0.0,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,0.0,1,0.0,1966.0,1.0,2.0,578.0,3,3,0.0,0,0,0,0,0,0,0,6,2010,0.0,190000,3405.0,4,3,1,8
6,2827,180,35.0,3675,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6,5,2005,2006,0.0,1.0,0.0,0.0,0.0,82.0,3,3,0.0,4,3,0.0,0.0,547.0,0.0,0.0,0.0,547.0,1.0,4,0.0,0.0,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,0.0,0,0.0,2005.0,1.0,2.0,525.0,3,3,0.0,0,44,0,0,0,0,0,6,2006,0.0,140000,1663.0,5,2,0,7
7,145,20,73.38502673796792,12160,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,5,5,1959,1959,0.0,1.0,0.0,0.0,0.0,180.0,3,3,0.0,3,3,0.0,0.0,1000.0,0.0,0.0,188.0,1188.0,1.0,2,0.0,0.0,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,0.0,0,0.0,1959.0,0.0,2.0,531.0,3,3,0.0,0,0,0,0,0,0,0,5,2010,1.0,142000,2376.0,4,3,0,7
8,1942,20,73.38502673796792,15783,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5,5,1952,1952,0.0,1.0,0.0,0.0,0.0,0.0,3,3,0.0,3,3,0.0,0.0,292.0,0.0,0.0,632.0,924.0,1.0,3,0.0,0.0,924,0,0,924,0.0,0.0,1,0,2,1,3,6,0.0,0,0.0,1952.0,0.0,1.0,420.0,3,3,0.0,0,324,0,0,0,0,400,6,2007,0.0,112500,2172.0,4,1,-1,4
9,1956,60,70.0,11606,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5,5,1969,1969,0.0,1.0,0.0,0.0,0.0,192.0,3,3,0.0,4,3,1.0,0.0,650.0,0.0,0.0,390.0,1040.0,1.0,3,0.0,0.0,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,0.0,2,0.0,1969.0,0.0,2.0,504.0,3,3,0.0,335,0,0,0,0,0,0,9,2007,0.0,135000,3455.0,4,3,0,7
